flagA,flagB,flagC,flagD,ssimAverage,ssim0,ssim1,ssim2,ssim3,ssim4,ssim5,ssim6,ssim7,ssim8,ssim9,ssim10,ssim11,ssim12,ssim13,ssim14,ssim15,ssim16,ssim17,ssim18,ssim19,ssim20,ssim21,ssim22,ssim23,
2340,4161,2772,4914,0.820749,0.699411,0.844126,0.872551,0.859267,0.773799,0.769718,0.883655,0.748202,0.870693,0.872522,0.798011,0.855467,0.66411,0.778927,0.868058,0.81607,0.882234,0.794194,0.805076,0.871459,0.831635,0.816434,0.921242,0.801111,
2340,5638,2772,4914,0.820744,0.696499,0.835181,0.888592,0.861362,0.804492,0.750949,0.90964,0.721992,0.87338,0.872413,0.786042,0.850455,0.658283,0.789129,0.861344,0.800117,0.887868,0.799082,0.80584,0.874591,0.824587,0.815476,0.925697,0.804845,
2340,12932,2772,4914,0.820694,0.694262,0.83296,0.888553,0.861207,0.806837,0.747896,0.915989,0.719086,0.874011,0.874234,0.784025,0.84812,0.657656,0.790925,0.861267,0.798392,0.889221,0.798273,0.80743,0.875679,0.824264,0.814822,0.925846,0.805689,
2340,1051,2772,4914,0.820682,0.691098,0.831463,0.889494,0.861517,0.806534,0.747658,0.918475,0.721052,0.872157,0.869907,0.785028,0.850657,0.654243,0.790739,0.86779,0.798945,0.892095,0.798024,0.808538,0.871997,0.824716,0.81392,0.927059,0.803258,
2340,9408,2772,4914,0.82067,0.695957,0.840776,0.869352,0.853048,0.767732,0.781241,0.893678,0.737405,0.872129,0.880173,0.79925,0.856881,0.673484,0.786847,0.862022,0.823159,0.877335,0.787503,0.806642,0.877036,0.839122,0.80657,0.913349,0.79538,
2340,31,2772,4914,0.82067,0.690327,0.831692,0.8895,0.861313,0.806467,0.746986,0.920823,0.718261,0.872155,0.870185,0.784807,0.850656,0.654573,0.791222,0.867559,0.798452,0.892831,0.797906,0.809452,0.872424,0.825309,0.813672,0.927403,0.802095,
2340,201,2772,4914,0.820664,0.696183,0.841215,0.869976,0.85359,0.768453,0.780503,0.893372,0.736272,0.871386,0.879366,0.799241,0.856083,0.671637,0.787798,0.862498,0.825281,0.879192,0.787646,0.806614,0.874712,0.839381,0.806772,0.913327,0.795447,
2340,14466,2772,4914,0.820647,0.701526,0.843576,0.872089,0.858013,0.768789,0.768413,0.874798,0.758193,0.870864,0.87035,0.799629,0.857917,0.666029,0.772122,0.872171,0.812568,0.879674,0.795737,0.806205,0.87186,0.827078,0.820946,0.921518,0.805473,
2340,10373,2772,4914,0.820644,0.696973,0.84322,0.871648,0.857643,0.767249,0.771492,0.878433,0.754776,0.87002,0.874613,0.798965,0.856572,0.667448,0.779106,0.869537,0.8183,0.880654,0.793566,0.804996,0.871686,0.831297,0.81562,0.918829,0.802814,
2340,13832,2772,4914,0.82058,0.691917,0.831614,0.888388,0.861842,0.808848,0.749126,0.917961,0.718898,0.873394,0.872785,0.783424,0.848591,0.65762,0.791697,0.862046,0.798642,0.89031,0.798242,0.803817,0.875818,0.824025,0.814028,0.926212,0.804665,
2340,4167,2772,4914,0.820578,0.700915,0.844821,0.87352,0.858692,0.77082,0.766967,0.874061,0.756681,0.870327,0.870351,0.798579,0.855641,0.66405,0.774687,0.871398,0.81569,0.879805,0.796145,0.806604,0.86855,0.828423,0.820471,0.921696,0.804981,
2340,7296,2772,4914,0.820572,0.703973,0.841401,0.870129,0.853296,0.757558,0.774408,0.880293,0.758823,0.873312,0.876327,0.802134,0.858441,0.667456,0.77427,0.867771,0.817563,0.875455,0.791395,0.809405,0.872425,0.830412,0.81633,0.917142,0.804017,
2340,12368,2772,4914,0.82057,0.694991,0.833862,0.888047,0.858416,0.802925,0.755024,0.904436,0.721197,0.870919,0.869721,0.787837,0.852424,0.658737,0.791108,0.867162,0.80564,0.887055,0.797518,0.810915,0.872432,0.826933,0.813062,0.921279,0.80205,
2340,7682,2772,4914,0.820568,0.693463,0.833681,0.887272,0.86125,0.806014,0.751191,0.914636,0.717395,0.873921,0.87419,0.784813,0.849977,0.658082,0.791685,0.860417,0.800518,0.88936,0.797909,0.804792,0.87584,0.825723,0.813401,0.924741,0.803376,
2340,10309,2772,4914,0.820556,0.696625,0.843038,0.871701,0.858074,0.767357,0.771202,0.87788,0.754502,0.870341,0.874944,0.798693,0.855937,0.666914,0.77918,0.869133,0.818282,0.880481,0.793603,0.805679,0.871262,0.831862,0.815282,0.918975,0.802397,
2340,4804,2772,4914,0.820537,0.69546,0.834482,0.888197,0.861071,0.802484,0.749297,0.910652,0.721197,0.873517,0.873477,0.785373,0.849604,0.657572,0.789573,0.862172,0.800142,0.887747,0.798412,0.807322,0.875039,0.823859,0.815421,0.924969,0.805844,
2340,14591,2772,4914,0.820535,0.693883,0.828757,0.877157,0.862127,0.796903,0.745113,0.904778,0.740383,0.871142,0.874543,0.786656,0.845187,0.662709,0.783079,0.869109,0.793048,0.886667,0.806187,0.810631,0.866762,0.82584,0.823224,0.926269,0.812686,
2340,13826,2772,4914,0.820526,0.691836,0.831698,0.889407,0.861811,0.809112,0.749147,0.916572,0.717929,0.873424,0.873507,0.783701,0.849032,0.657373,0.791565,0.86102,0.799042,0.890125,0.798258,0.804249,0.875593,0.824538,0.813341,0.926579,0.803757,
2340,220,2772,4914,0.820524,0.693946,0.832901,0.888544,0.860305,0.801647,0.751981,0.913821,0.71813,0.872293,0.870017,0.787124,0.85315,0.654094,0.79151,0.86738,0.804388,0.890218,0.796188,0.809413,0.871721,0.826152,0.812462,0.924235,0.800964,
2340,15311,2772,4914,0.820519,0.69134,0.829384,0.87838,0.861926,0.79927,0.745622,0.904818,0.738526,0.870453,0.873755,0.784054,0.845378,0.666427,0.783323,0.871457,0.791173,0.885052,0.806324,0.806964,0.871687,0.823392,0.822979,0.926852,0.813913,
2340,155,2772,4914,0.820516,0.690349,0.831076,0.889967,0.861902,0.805406,0.746474,0.918084,0.720149,0.872217,0.870152,0.78466,0.850731,0.653156,0.790446,0.867944,0.79893,0.89274,0.798312,0.809191,0.871396,0.824376,0.813894,0.927776,0.803057,
2340,12417,2772,4914,0.820501,0.696596,0.843839,0.872485,0.859013,0.777873,0.770002,0.881093,0.745452,0.869157,0.87142,0.796907,0.856065,0.66752,0.778368,0.868274,0.814751,0.881485,0.795309,0.803586,0.873642,0.830328,0.81616,0.920585,0.802106,
2340,13440,2772,4914,0.820497,0.697699,0.842174,0.872768,0.856122,0.774575,0.773607,0.881982,0.744744,0.870788,0.873586,0.798055,0.856453,0.670208,0.779326,0.86616,0.816239,0.877854,0.793139,0.806701,0.874888,0.831564,0.813866,0.918215,0.801205,
2340,2264,2772,4914,0.820493,0.697032,0.833933,0.888907,0.86078,0.800244,0.75205,0.907965,0.721931,0.872318,0.868413,0.787434,0.852847,0.654037,0.789208,0.867607,0.80399,0.88916,0.797287,0.81023,0.869844,0.824644,0.814208,0.924807,0.802945,
2340,4185,2772,4914,0.820492,0.692714,0.831425,0.890759,0.859815,0.806025,0.751862,0.915073,0.71784,0.872394,0.869683,0.786209,0.852894,0.654595,0.791749,0.866858,0.80364,0.89034,0.795589,0.808266,0.871813,0.825867,0.811068,0.925018,0.800307,
