flagA,flagB,flagC,flagD,ssimAverage,ssim0,ssim1,ssim2,ssim3,ssim4,ssim5,ssim6,ssim7,ssim8,ssim9,ssim10,ssim11,ssim12,ssim13,ssim14,ssim15,ssim16,ssim17,ssim18,ssim19,ssim20,ssim21,ssim22,ssim23,
9918,529,2772,4914,0.84957,0.75008,0.866154,0.91734,0.886101,0.840609,0.782094,0.935168,0.756342,0.897304,0.890421,0.82029,0.875986,0.696288,0.829138,0.87633,0.834194,0.910576,0.828904,0.840299,0.890759,0.848016,0.843214,0.941064,0.833008,
10877,529,2772,4914,0.84957,0.749915,0.865792,0.917518,0.885797,0.840605,0.782202,0.935128,0.756956,0.897424,0.891391,0.820147,0.876039,0.69633,0.829156,0.876215,0.83431,0.910322,0.828831,0.839944,0.891122,0.848029,0.842855,0.940877,0.832766,
11829,529,2772,4914,0.849569,0.749885,0.866145,0.917402,0.885925,0.840374,0.782275,0.934929,0.757114,0.897459,0.891253,0.820299,0.87591,0.696278,0.829103,0.876163,0.834167,0.910389,0.828673,0.840149,0.89104,0.848079,0.842955,0.941085,0.832605,
758,529,2772,4914,0.849569,0.750533,0.866939,0.917801,0.885822,0.839326,0.782185,0.934393,0.756079,0.897465,0.890685,0.820899,0.876411,0.696204,0.828704,0.876262,0.835228,0.910042,0.828057,0.840818,0.891256,0.847822,0.843098,0.941028,0.832597,
761,529,2772,4914,0.849569,0.750399,0.866881,0.917593,0.885851,0.839498,0.782399,0.934131,0.755987,0.897448,0.890781,0.820856,0.876461,0.696143,0.828786,0.876252,0.835568,0.910244,0.828312,0.840389,0.891214,0.847932,0.843035,0.940736,0.832748,
5074,529,2772,4914,0.849568,0.749578,0.867253,0.91806,0.885062,0.838566,0.78406,0.933635,0.755135,0.896795,0.889389,0.820854,0.877299,0.696958,0.828453,0.878949,0.836112,0.909134,0.827434,0.840923,0.892419,0.847638,0.842941,0.940931,0.832058,
754,529,2772,4914,0.849568,0.75071,0.867445,0.917725,0.885889,0.838902,0.782473,0.933839,0.755788,0.897504,0.89041,0.821147,0.87653,0.696108,0.828623,0.876189,0.835806,0.910051,0.827871,0.840923,0.891198,0.847864,0.843195,0.940925,0.832517,
1714,529,2772,4914,0.849567,0.750582,0.867373,0.917499,0.885964,0.839216,0.782685,0.933943,0.755914,0.897444,0.890119,0.82107,0.876399,0.696218,0.828782,0.876068,0.835501,0.91022,0.828,0.840844,0.890997,0.848026,0.843302,0.941,0.832453,
690,529,2772,4914,0.849567,0.750788,0.867694,0.917586,0.88574,0.838673,0.782984,0.933544,0.75592,0.897536,0.890251,0.821326,0.876527,0.696309,0.828682,0.87594,0.835971,0.909922,0.827635,0.841057,0.891214,0.848119,0.843158,0.940817,0.832205,
697,529,2772,4914,0.849566,0.750504,0.867162,0.917433,0.885699,0.839246,0.782949,0.933787,0.756105,0.897466,0.890579,0.821039,0.876451,0.69638,0.828856,0.875989,0.835744,0.910086,0.828109,0.840538,0.891236,0.848177,0.842996,0.940598,0.832458,
918,529,2772,4914,0.849566,0.749756,0.867208,0.918031,0.884745,0.838159,0.784555,0.933084,0.755975,0.896827,0.889786,0.821145,0.877522,0.696963,0.828231,0.879018,0.836218,0.908634,0.827212,0.840961,0.892629,0.847666,0.842665,0.940876,0.831717,
10134,529,2772,4914,0.849564,0.749274,0.866509,0.917847,0.884809,0.839241,0.784361,0.93399,0.755706,0.896669,0.889749,0.820586,0.87733,0.697082,0.82867,0.879134,0.835713,0.909032,0.827667,0.840426,0.892402,0.847971,0.842695,0.940759,0.831919,
8026,529,2772,4914,0.849563,0.749099,0.866369,0.917787,0.885194,0.839807,0.784287,0.934557,0.755372,0.896644,0.889014,0.820207,0.876988,0.697337,0.828929,0.878993,0.835218,0.909436,0.827981,0.840293,0.892199,0.847778,0.842974,0.940988,0.832066,
1883,529,2772,4914,0.849563,0.749138,0.866591,0.917774,0.885153,0.839347,0.784146,0.933606,0.755773,0.896466,0.889437,0.820548,0.877204,0.697156,0.828383,0.879445,0.835377,0.909156,0.828104,0.84037,0.892418,0.847546,0.842962,0.940959,0.832447,
1725,529,2772,4914,0.849563,0.750025,0.86625,0.91738,0.885981,0.840277,0.782309,0.93485,0.756389,0.897332,0.890736,0.820503,0.876201,0.696287,0.829072,0.876248,0.834665,0.910425,0.828672,0.840111,0.891068,0.848034,0.842985,0.940948,0.832755,
7122,529,2772,4914,0.849562,0.749286,0.86679,0.918107,0.885106,0.839031,0.783821,0.934191,0.755368,0.89688,0.889614,0.820475,0.877086,0.697059,0.82862,0.878954,0.835668,0.909244,0.827599,0.84073,0.892382,0.847622,0.842822,0.94101,0.832025,
9045,529,2772,4914,0.849562,0.748858,0.866632,0.917964,0.884796,0.838904,0.783813,0.933584,0.7565,0.896621,0.890514,0.820563,0.877128,0.696986,0.828257,0.879462,0.835479,0.908914,0.82777,0.840552,0.892765,0.84758,0.842724,0.940849,0.83227,
11892,529,2772,4914,0.849562,0.750293,0.866283,0.917626,0.885922,0.839945,0.782357,0.934538,0.756982,0.897455,0.891134,0.820481,0.876215,0.696043,0.828913,0.87638,0.834717,0.910172,0.828477,0.840164,0.89095,0.847774,0.843008,0.941076,0.832574,
13874,529,2772,4914,0.849561,0.750604,0.867236,0.91734,0.886065,0.839693,0.783003,0.934209,0.755661,0.897401,0.889911,0.820852,0.87612,0.696496,0.829085,0.87571,0.83511,0.910326,0.82822,0.84065,0.890695,0.848321,0.843344,0.941004,0.832412,
3698,529,2772,4914,0.849561,0.750766,0.867057,0.917581,0.885881,0.83946,0.782756,0.934168,0.75614,0.897493,0.890243,0.820949,0.876429,0.696178,0.828863,0.875999,0.835361,0.910087,0.828053,0.840614,0.890932,0.847943,0.843225,0.940982,0.832299,
13936,529,2772,4914,0.84956,0.750586,0.867133,0.917517,0.886124,0.839479,0.782687,0.933927,0.755904,0.897432,0.89043,0.820857,0.876314,0.696108,0.828865,0.876094,0.83542,0.910276,0.828247,0.840422,0.89079,0.847953,0.84325,0.941028,0.832588,
