flagA,flagB,flagC,flagD,psnrAverage,psnr0,psnr1,psnr2,psnr3,psnr4,psnr5,psnr6,psnr7,psnr8,psnr9,psnr10,psnr11,psnr12,psnr13,psnr14,psnr15,psnr16,psnr17,psnr18,psnr19,psnr20,psnr21,psnr22,psnr23,
4505,529,192,8720,27.7586,24.1729,30.3045,31.3106,30.7275,25.1823,25.5808,30.3631,21.3234,29.5082,29.3609,27.1144,30.0099,22.3864,27.1096,28.8953,28.7169,30.7797,26.2697,26.51,28.7419,26.5897,28.4022,31.6123,25.2333,
9984,529,192,8720,27.7583,24.1134,30.276,31.2031,30.6349,25.0724,25.3136,30.1423,21.6061,29.721,29.4939,27.0774,30.0993,22.2292,26.9221,28.8106,28.403,30.6873,26.4603,26.7765,29.4218,26.1629,28.4816,31.7226,25.367,
403,529,192,8720,27.7582,24.1578,30.286,31.2936,30.7068,25.1999,25.5839,30.3546,21.2995,29.4311,29.3764,27.1182,30.03,22.4214,27.1,28.9072,28.7034,30.8007,26.2891,26.479,28.7643,26.609,28.4091,31.6099,25.2667,
402,529,192,8720,27.7581,24.179,30.3198,31.3119,30.6967,25.1897,25.606,30.298,21.2969,29.4164,29.3578,27.1315,29.9872,22.4334,27.1162,28.8896,28.765,30.7917,26.2904,26.4958,28.7264,26.614,28.4222,31.5821,25.2777,
4368,529,192,8720,27.7579,24.2342,30.3689,31.3175,30.6683,25.1551,25.6302,30.2167,21.3765,29.43,29.307,27.1557,29.9393,22.4367,27.1186,28.8108,28.7967,30.7613,26.2967,26.5982,28.6804,26.608,28.4584,31.5359,25.2882,
4496,529,192,8720,27.7547,24.2107,30.352,31.3223,30.6888,25.1547,25.5964,30.2461,21.3425,29.4583,29.3379,27.1413,29.9397,22.415,27.1134,28.8468,28.7879,30.7658,26.2887,26.5667,28.6774,26.5925,28.4366,31.5572,25.2752,
1560,529,192,8720,27.7539,24.4614,30.3868,31.4754,30.7271,24.8648,25.4023,30.1852,21.5952,29.729,29.026,27.1556,30.0485,22.2638,26.9621,28.541,28.7235,30.7286,26.3167,27.0174,28.8435,26.3747,28.4713,31.448,25.3462,
528,529,192,8720,27.7532,24.4665,30.4037,31.4653,30.6978,24.8648,25.4078,30.1433,21.5994,29.671,29.0551,27.1731,30.0298,22.293,26.9602,28.5179,28.7429,30.7299,26.3268,27.0206,28.8376,26.389,28.4877,31.4257,25.3677,
1552,529,192,8720,27.753,24.4637,30.3953,31.4698,30.7074,24.8653,25.4013,30.1656,21.5984,29.6946,29.0351,27.1663,30.0311,22.2781,26.9629,28.5457,28.7341,30.7359,26.322,27.0213,28.8225,26.3829,28.4801,31.4362,25.3565,
536,529,192,8720,27.7527,24.4645,30.3948,31.4685,30.7131,24.8631,25.4074,30.1557,21.5953,29.7028,29.0464,27.1631,30.0429,22.2801,26.9571,28.513,28.7311,30.7209,26.3232,27.0164,28.8554,26.38,28.4804,31.4317,25.3589,
