flagA,flagB,flagC,flagD,psnrAverage,psnr0,psnr1,psnr2,psnr3,psnr4,psnr5,psnr6,psnr7,psnr8,psnr9,psnr10,psnr11,psnr12,psnr13,psnr14,psnr15,psnr16,psnr17,psnr18,psnr19,psnr20,psnr21,psnr22,psnr23,
2340,8721,480,13903,27.4291,23.8585,29.8668,30.4856,30.212,24.4778,25.2538,30.0385,21.6023,29.5033,29.5874,26.8139,29.7018,21.8557,26.6386,28.4478,28.2637,30.2652,25.9991,26.4083,28.7044,26.235,28.1592,31.1876,24.7311,
2340,8721,480,14523,27.4288,23.8527,29.8685,30.4985,30.217,24.4679,25.2555,30.0613,21.595,29.4779,29.55,26.7883,29.7275,21.853,26.6406,28.4595,28.2683,30.277,26.0033,26.4119,28.7524,26.2062,28.1792,31.2142,24.6664,
2340,8721,480,10399,27.4287,23.8278,29.8762,30.5377,30.2431,24.5553,25.2389,30.0302,21.5251,29.4218,29.5253,26.7927,29.693,21.8994,26.663,28.4375,28.256,30.2961,26.0442,26.3472,28.7209,26.2009,28.1785,31.2598,24.7175,
2340,8721,480,7285,27.4286,23.8413,29.9338,30.7444,30.3169,24.8526,25.2005,29.8781,21.4301,29.3548,29.3629,26.8246,29.6574,21.897,26.6777,28.2809,28.2383,30.3037,26.0398,26.3354,28.6499,26.1155,28.1587,31.4333,24.7578,
2340,8721,480,13921,27.4285,23.8393,29.876,30.5284,30.2341,24.5622,25.2437,29.9757,21.5309,29.421,29.5413,26.8205,29.6625,21.9259,26.6691,28.4117,28.2598,30.2955,26.0646,26.3327,28.6678,26.2299,28.1761,31.2175,24.7988,
2340,8721,480,2459,27.4281,23.8394,29.889,30.5556,30.2307,24.5925,25.2489,29.9557,21.511,29.3782,29.495,26.8088,29.6701,21.9399,26.6691,28.406,28.2672,30.2953,26.0778,26.3429,28.7017,26.2067,28.1913,31.2511,24.7516,
2340,8721,480,2067,27.4279,23.7848,29.824,30.6278,30.2473,24.5623,25.1754,30.4055,21.7058,29.7324,29.4455,26.7141,29.8698,21.502,26.5873,28.4892,28.2053,30.2768,25.7113,26.6117,28.8819,26.0375,28.0443,31.4563,24.3713,
2340,8721,480,14991,27.4278,23.8354,29.9616,30.7744,30.3305,24.8962,25.1673,29.9006,21.396,29.3716,29.4021,26.8173,29.6497,21.8555,26.6735,28.3158,28.223,30.1998,26.0046,26.3445,28.6562,26.1109,28.1034,31.5427,24.7354,
2340,8721,480,13428,27.4275,23.8507,29.946,30.7661,30.3207,24.8753,25.1893,29.8481,21.3942,29.3209,29.3434,26.8332,29.6364,21.9325,26.6783,28.2542,28.2334,30.2995,26.0709,26.3065,28.6271,26.1135,28.1681,31.4501,24.8023,
2340,8721,480,3687,27.4274,23.8892,29.8765,30.4663,30.1841,24.4374,25.2639,29.9902,21.6138,29.4932,29.5631,26.8285,29.6923,21.9027,26.6316,28.4388,28.2748,30.2674,26.0292,26.4174,28.6892,26.2522,28.1781,31.1139,24.7646,
2340,8721,480,11885,27.4274,23.8586,29.8647,30.493,30.2114,24.5027,25.2533,30.0044,21.594,29.49,29.5727,26.8166,29.6918,21.8607,26.6402,28.4332,28.2678,30.2621,26.0057,26.412,28.6902,26.2309,28.162,31.1897,24.7499,
2340,8721,480,8045,27.4267,23.8844,29.8701,30.4567,30.1953,24.4433,25.262,29.9912,21.6404,29.5095,29.5739,26.8223,29.7047,21.8542,26.6247,28.4421,28.2732,30.2534,26.0002,26.4467,28.7027,26.2481,28.1763,31.134,24.7321,
2340,8721,480,3090,27.4266,23.8071,29.8566,30.6386,30.2426,24.589,25.1786,30.3257,21.6789,29.6721,29.4376,26.7422,29.8398,21.5877,26.5878,28.4389,28.2017,30.2721,25.7749,26.5422,28.8551,26.0573,28.0718,31.3978,24.4431,
2340,8721,480,15215,27.4265,23.8655,29.85,30.4732,30.2034,24.4244,25.2466,30.0908,21.6486,29.5755,29.6031,26.7999,29.7381,21.7711,26.6139,28.4719,28.2649,30.2371,25.9257,26.4804,28.7293,26.2168,28.1384,31.2005,24.6676,
