flagA,flagB,flagC,flagD,psnrAverage,psnr0,psnr1,psnr2,psnr3,psnr4,psnr5,psnr6,psnr7,psnr8,psnr9,psnr10,psnr11,psnr12,psnr13,psnr14,psnr15,psnr16,psnr17,psnr18,psnr19,psnr20,psnr21,psnr22,psnr23,
2340,8721,4822,8720,28.3082,24.4892,30.5199,31.3855,31.1827,26.0108,25.786,31.5373,22.1943,30.4555,30.4252,27.5534,30.4851,22.5614,27.6476,29.126,28.6874,31.5449,26.905,27.2091,29.799,26.9605,28.8825,32.4921,25.5574,
2340,8721,6339,8720,28.3082,24.4704,30.5051,31.3614,31.184,26.0134,25.7942,31.5416,22.2158,30.4702,30.4758,27.5526,30.4872,22.5626,27.6385,29.1573,28.6674,31.5445,26.9062,27.1881,29.7778,26.9652,28.8694,32.5046,25.543,
2340,8721,6866,8720,28.3082,24.4774,30.5201,31.3858,31.1886,26.0089,25.7761,31.5371,22.1938,30.4601,30.4299,27.5532,30.4661,22.5557,27.6506,29.1898,28.6906,31.5575,26.9043,27.2212,29.7417,26.9637,28.8785,32.4941,25.5515,
2340,8721,2514,8720,28.308,24.501,30.5317,31.3664,31.1746,25.9899,25.8107,31.5105,22.2234,30.4536,30.433,27.5549,30.4779,22.5671,27.6462,29.1214,28.7053,31.5371,26.9048,27.2154,29.7875,26.9733,28.8872,32.4685,25.5512,
2340,8721,10704,8720,28.3078,24.4914,30.5438,31.384,31.1754,26.0024,25.8053,31.5075,22.2221,30.4439,30.4245,27.5525,30.4348,22.5585,27.6597,29.1826,28.7229,31.5485,26.9045,27.2142,29.7248,26.9714,28.8817,32.4825,25.5473,
2340,8721,8899,8720,28.3077,24.4727,30.5077,31.3773,31.1884,26.0162,25.7842,31.5382,22.1993,30.4658,30.4516,27.5539,30.4873,22.5629,27.6363,29.1544,28.6718,31.5479,26.9052,27.2005,29.7765,26.9628,28.8729,32.5032,25.548,
2340,8721,2275,8720,28.3076,24.4834,30.515,31.3557,31.1835,26.0092,25.805,31.5294,22.2234,30.4615,30.4694,27.5505,30.4946,22.5595,27.6345,29.1224,28.6724,31.5328,26.902,27.1932,29.797,26.9705,28.8756,32.5062,25.5369,
2340,8721,2789,8720,28.3075,24.4896,30.5279,31.3564,31.1808,25.9967,25.8053,31.5249,22.2355,30.4579,30.4598,27.5497,30.4699,22.5494,27.6413,29.1573,28.6888,31.5319,26.8997,27.2053,29.7652,26.9757,28.8778,32.5013,25.5321,
2340,8721,6593,8720,28.3073,24.4752,30.5233,31.3682,31.1825,26.0087,25.7965,31.5346,22.2207,30.4593,30.4583,27.5498,30.4548,22.5534,27.6508,29.1879,28.6906,31.5487,26.9014,27.1976,29.7371,26.9673,28.8725,32.4987,25.5375,
2340,8721,8422,8720,28.3072,24.487,30.5238,31.3677,31.1758,26.0093,25.8071,31.5324,22.2215,30.453,30.4583,27.5473,30.4733,22.5564,27.6458,29.1283,28.689,31.5346,26.8997,27.1879,29.7928,26.9663,28.8744,32.5029,25.5385,
2340,8721,2759,8720,28.3071,24.4831,30.5069,31.3518,31.1835,26.0068,25.8003,31.528,22.2247,30.4655,30.4698,27.5519,30.501,22.5615,27.6311,29.1184,28.6625,31.5281,26.9082,27.19,29.8009,26.9695,28.8772,32.5064,25.5422,
2340,8721,227,8720,28.3069,24.4929,30.5177,31.3684,31.178,26.0081,25.8126,31.5099,22.2126,30.4485,30.4461,27.5555,30.495,22.5724,27.6341,29.0875,28.6872,31.5308,26.9046,27.197,29.8142,26.9704,28.8802,32.4921,25.5504,
2340,8721,963,8720,28.3065,24.486,30.5155,31.3706,31.1865,26.0059,25.7911,31.5277,22.201,30.459,30.439,27.553,30.4952,22.5622,27.6344,29.1202,28.6776,31.5392,26.9018,27.2094,29.7963,26.9649,28.8807,32.4903,25.5476,
2340,8721,4561,8720,28.3064,24.4886,30.5248,31.3824,31.1804,26.0072,25.7924,31.5339,22.1998,30.4531,30.4249,27.5511,30.4764,22.5604,27.648,29.1261,28.6925,31.5433,26.9012,27.2032,29.7906,26.9602,28.8799,32.482,25.5508,
