flagA,flagB,flagC,flagD,ssimAverage,ssim0,ssim1,ssim2,ssim3,ssim4,ssim5,ssim6,ssim7,ssim8,ssim9,ssim10,ssim11,ssim12,ssim13,ssim14,ssim15,ssim16,ssim17,ssim18,ssim19,ssim20,ssim21,ssim22,ssim23,
2340,8721,1900,4914,0.857628,0.751303,0.868073,0.911404,0.892081,0.85677,0.794447,0.942807,0.775709,0.901284,0.90268,0.829215,0.879824,0.710601,0.840924,0.886297,0.83864,0.917856,0.840824,0.844353,0.897021,0.859229,0.85173,0.943865,0.846136,
2340,8721,7581,4914,0.857628,0.751241,0.867514,0.911338,0.892062,0.857428,0.794458,0.943227,0.775895,0.901285,0.902877,0.829038,0.879496,0.710441,0.841002,0.886328,0.83815,0.917855,0.840893,0.844334,0.89708,0.859285,0.851705,0.943908,0.846232,
2340,8721,10093,4914,0.857627,0.751195,0.867629,0.911353,0.892119,0.857495,0.794061,0.943336,0.775681,0.901286,0.902825,0.828956,0.879608,0.710546,0.841102,0.886346,0.838047,0.917911,0.84107,0.844253,0.896925,0.859209,0.85177,0.943902,0.846419,
2340,8721,15546,4914,0.857627,0.751318,0.867501,0.911553,0.892058,0.857432,0.79422,0.943322,0.775524,0.901327,0.902803,0.829015,0.879484,0.710267,0.841075,0.886423,0.838131,0.917891,0.840943,0.844585,0.897028,0.859276,0.851761,0.943915,0.846192,
2340,8721,1899,4914,0.857626,0.751213,0.867769,0.911581,0.892061,0.857191,0.794023,0.943256,0.775274,0.901506,0.902815,0.829008,0.879731,0.710529,0.84101,0.886286,0.838231,0.917881,0.840956,0.844474,0.897065,0.859216,0.851744,0.943927,0.846275,
2340,8721,16026,4914,0.857626,0.751308,0.867563,0.911774,0.892061,0.857295,0.794179,0.943287,0.775354,0.90141,0.902711,0.829068,0.879575,0.710166,0.841086,0.886419,0.838263,0.917866,0.84084,0.844788,0.897008,0.859211,0.851771,0.943995,0.846021,
2340,8721,13949,4914,0.857626,0.751163,0.867511,0.911645,0.892156,0.857803,0.793808,0.943666,0.775231,0.901327,0.902743,0.828841,0.879527,0.710433,0.841304,0.886273,0.837936,0.917906,0.841087,0.844399,0.896942,0.859071,0.851817,0.943994,0.846432,
2340,8721,13737,4914,0.857625,0.75111,0.867512,0.91155,0.892046,0.85753,0.794319,0.943263,0.775553,0.901436,0.902912,0.828984,0.879499,0.71021,0.840982,0.886503,0.838137,0.917957,0.840902,0.844467,0.897059,0.859347,0.851654,0.943928,0.846148,
2340,8721,11689,4914,0.857625,0.751166,0.86761,0.911274,0.892046,0.857295,0.794504,0.943063,0.776049,0.901288,0.902923,0.829058,0.879546,0.710283,0.840882,0.886515,0.838193,0.917929,0.840919,0.844374,0.897026,0.859366,0.851658,0.943899,0.846143,
2340,8721,10995,4914,0.857625,0.74675,0.866319,0.91285,0.89213,0.860809,0.792442,0.945643,0.773399,0.903034,0.905128,0.827932,0.879095,0.707092,0.841445,0.88754,0.83607,0.919725,0.840864,0.84492,0.898585,0.859088,0.850814,0.945571,0.845758,
2340,8721,15471,4914,0.857625,0.750753,0.867072,0.911143,0.89207,0.857732,0.793964,0.943878,0.776056,0.901411,0.903296,0.828706,0.879473,0.7105,0.841165,0.886573,0.837571,0.917984,0.841192,0.844077,0.896928,0.859265,0.851719,0.943961,0.846513,
2340,8721,1436,4914,0.857624,0.751284,0.868093,0.911558,0.892008,0.856473,0.794864,0.942609,0.775725,0.901454,0.902776,0.829344,0.879772,0.710359,0.840713,0.886232,0.838857,0.917788,0.840596,0.844462,0.897293,0.859327,0.85163,0.943938,0.845822,
2340,8721,15530,4914,0.857624,0.7511,0.867476,0.911401,0.891979,0.857069,0.794462,0.943185,0.775913,0.90143,0.903012,0.829075,0.879543,0.710219,0.840895,0.886601,0.838219,0.917916,0.840869,0.844555,0.897036,0.859398,0.851665,0.943874,0.846079,
2340,8721,10741,4914,0.857624,0.74704,0.866441,0.91225,0.892102,0.860766,0.792948,0.94539,0.774407,0.902987,0.905292,0.827974,0.87913,0.707156,0.841331,0.887373,0.836011,0.919549,0.840828,0.844383,0.898541,0.859096,0.850731,0.945423,0.845822,
2340,8721,13976,4914,0.857623,0.751325,0.867878,0.91194,0.891991,0.856669,0.79447,0.942912,0.775289,0.901616,0.902694,0.829278,0.879751,0.710069,0.840836,0.886389,0.838758,0.917815,0.840562,0.844892,0.897107,0.859285,0.851675,0.943965,0.845785,
